image,description
rb_1024373821.png,"In this picture, there is a table with an empty bowl, a packet of snacks, and a blue can on it. The table has many closed drawers. A robotic arm has located the drawer in the first column and second row and has pulled it open."
rb_1028500382.png,"In this scene, there is a table with three packet of snacks, one green, one blue, and one brown. A robotic arm is picking up the green bag and moving it to a spot between the blue and brown bags."
rb_1035956476.png,"In this scene, in a room, there is a black cabinet with a flower pot, a cube, and a small ball on top of it. The cabinet has four compartments, and in the bottom right compartment, there is a flat, disc-shaped object. A robotic arm is picking up this disc-shaped object from the compartment in the bottom right corner of the cabinet."
rb_1076690002.png,"In this scene, there are two stoves and three switches. On the second stove, there is a silver pot. On the middle switch, there is a brown object. A robotic arm moves from the left stove to the middle switch, picks up the object, and places it into the silver pot on the right stove. Afterwards, the arm picks up the pot with the object inside and places it on the left stove."
rb_1096495768.png,"In this scene, there is a blue fork, a green towel folded into a square, and a green pear toy on a blue table. A robotic arm picks up the fork from the table and places it to the right of the square towel."
rb_1110240249.png,"On a square tabletop, there is a plastic water bottle in the top left corner. Near the bottom edge of the table, there is a red can with a packet of snacks on its right. A robotic arm picks up the can and places it beside the plastic water bottle."
rb_1236243506.png,"On a blue table, a white bottle and a silver pot are placed side by side. A robotic arm picks up the bottle and places it into the pot."
rb_1391645695.png,"On a blue table, in the top left corner, there is a model oven with a blue plate inside. On its right there are two cans. In the front of the cans there is a square-folded towel with a blue and white object on top. Beside it is a light green spoon, and in the bottom left corner of the table, there is a pot. A robotic arm picks up the blue and white object from the folded tissue and moves it to the left, placing it between the pot and the model oven."
rb_1486532536.png,"On a blue table, on the left side, there is a metal pot containing a green chili pepper model. On the right side of the table, there is a blue towel folded into a square with a brown spoon on top of it. A robotic arm picks up the chili pepper model from the pot and places it to the left of the square-folded towel."
rb_1487737122.png,"On a table, in the top left corner, there is a green can. In the middle of the table, there is a bag of green snacks, and on the right, there is a black card. A robotic arm picks up the black card from the right side of the table."
rb_1523668910.png,"In a room, there is a counter with a black induction stove on the left and a sink on the right. Below them, there is a cabinet with two doors. A robotic arm moves from the left side of the counter to the right and opens the door of the cabinet on the right side."
