image,description
rb_1003410273.png,"In a room, there is a cabinet with drawers. On top of the cabinet, there's a bag of snacks, a laid-flat can, and a blue apple model. A robotic arm is picking up the laid-flat can and setting it upright on the surface."
rb_1027252144.png,"In the room, there is a cabinet with its first drawer pulled open. On top of the cabinet, there's a white bowl and a blue bag of snacks. A robotic arm is pushing on one corner of the open drawer, closing the drawer."
rb_1034830977.png,"Inside a kitchen, there's an open oven. To the right of the oven, there's an orange bowl with a black bottom and a slightly larger white bowl. To the right of them, there's an orange sink. On the sink, there's a black bowl. A robotic arm moves above the white bowl, then above the orange bowl, and finally above the black bowl in the sink. It grasps the black bowl and lifts it up."
rb_1047317375.png,"On the stovetop, there's a metal pot. On another burner next to it, there's a model of broccoli and half a corn. To the left of the stove, there's a blue object. A robotic arm picks up the blue object and places it inside the pot on the stove."
rb_1062276557.png,"Inside a room, there's an open oven containing a tray. To the right of the oven is a bowl with a white interior and blue exterior, next to which are a dark blue object and a black object. To the right of these items, there's an orange sink. A robotic arm picks up the black object and places it on the tray in the open oven."
rb_1066982148.png,"In a storage cabinet with three drawers, there is a white bowl on top. The bottom, or third drawer, is open, containing a black snack bag. A robotic arm takes the snack from the lowest third drawer and places it on top of the storage cabinet."
rb_1067753414.png,"On the table, there is an oven, two can-like objects, a white towel folded into a square, a metal basin, a white object, and a spoon with a blue handle. A robotic arm moves from above the white object to the white towel, pushing the towel across the table's surface to the right side of the table."
rb_1079879466.png,"On a table with a black inset induction cooker and a sink, to the left side of the table, next to the induction cooker, there is a black object. A robotic arm lifts this object up into mid-air, where it remains stationary."
rb_1084201330.png,"Above a cabinet with three drawers, there is a white bowl, a green snack bag, and a blue sponge. The second drawer of the cabinet is open. A robotic arm moves to the green snack bag, picks it up, and places it inside the open second drawer."
rb_1088249268.png,"On a blue table, there are various items in dark colors. On the left, there is a deep blue bowl, a cup, a fork, a knife, and some other objects. In the upper right corner on the right side, there is a green tray with some objects beside it. A robotic arm picks up an object next to the tray, moves it to the far left of the table, and sets the object down"
rb_1093815726.png,"On a storage cabinet with the second drawer pulled open, there is a white bowl containing a blue apple model. A robotic arm takes the blue apple model out of the bowl and places it into the open second drawer."
rb_1098812509.png,"On a table, there is a green tray with a blue bowl, a black bowl, a white cup, and some other objects. A robotic arm picks up a black object from the table."
rb_1126559805.png,"On a blue tabletop, there's a blue carrot model, a blue banana model, and a blue potato model. On the right half of the table, there's a blue transparent bowl and a blue strawberry model. A robotic arm moves from above the carrot model on the left to the potato model, picks up the potato model, and places it inside the blue bowl."
rb_1140568438.png,"On a table, the left half holds a metal can and a spoon with a purple handle. On the right half, there's a blue towel folded into a square and a metal iron basin. A robotic arm picks up the metal iron basin and moves it to the left, near the metal can."
rb_1147719827.png,"On a table, there are two stoves. On the left stove, there's a metal iron basin, and next to the right stove, there's a half corn model. A robotic arm first picks up the metal iron basin from the left stove and moves it to the second stove on the right. Then, it picks up the half corn model next to the second stove and places it inside the metal iron basin on the second stove."
rb_1151339580.png,"In the kitchen, on the sink table, to the left is a black workbench with a carton of milk on it. A robotic arm picks up the carton of milk and moves it into the sink."
rb_1155014241.png,"On a blue table, there's a metal iron basin and a white bottle-like object lying down, resembling salad dressing. A robotic arm picks up the white bottle-like object and places it inside the iron basin."
rb_1168610131.png,"On a kitchen worktable with a sink, the faucet of the sink is twisted to the left. A robotic arm moves to the side of the sink and adjusts the faucet, turning it back to the correct position."
rb_1169686941.png,"On a four-compartment shelf, there are some white objects and a bouquet of flowers. A robotic arm attempts to approach the bottom left compartment and grab an object from it, but it fails to grasp anything."
rb_1181326728.png,"On a blue table, there is a blue transparent basin in the center, surrounded by a blue carrot model, a dark blue eggplant model, and a blue strawberry model. A mechanical arm picks up the blue carrot model and places it into the transparent blue basin in the middle."
rb_1182167798.png,"On a table, there is a white and yellow object, and to the right, there's an open oven. A mechanical arm picks up the white and yellow object in the middle and places it on the tray of the open oven."
rb_1193386647.png,"On a blue table, on the left, there is a spoon and a square cube, and on the right, there is a metal iron basin and a square-folded red towel. A mechanical arm picks up the metal iron basin located at the top right corner of the table and moves it to the middle left part of the table, near the spoon and cube."
rb_1202599913.png,"In a kitchen, to the right of the sink is a dish rack, and on this blue dish rack, there is a metal iron basin with a purple eggplant model beside it. A mechanical arm picks up this purple eggplant model and places it inside the iron basin on the dish rack."
rb_1216238914.png,"On top of a cabinet with its second drawer open, there is a white bowl, a pack of snacks, and a blue metal can with a pull tab. A mechanical arm picks up the pack of snacks and places it inside the open second drawer."
rb_1222326845.png,"On a blue worktable, the left side holds a metal iron basin, a blue object, and a spoon, while the right half contains a square-folded orange towel. A mechanical arm picks up the spoon located next to the metal iron basin on the left and places it above the square-folded orange towel."
rb_1228881056.png,"On a blue worktable, in the bottom left corner, there stands a dark blue cylindrical object. In the middle of the table, there is a light green spherical object and a blue and white object. A mechanical arm knocks over the cylindrical object in the bottom left corner, so now it lies flat on the table."
rb_1238806067.png,"On the right side of a dish rack, there is a platform covered with a pink towel, on which a white ceramic cup is placed upside down. A blue bowl and plate hold a wooden spoon. A mechanical arm picks up the spoon from the blue plate and places it in a basket above the dish rack on the left. Then, it lifts the blue plate from the right side and places it upright in the dish rack."
rb_1249718918.png,"On a blue table, the left half holds a metal iron basin and a shovel, while the upper right side has a blue towel folded into a square, next to a white object. A mechanical arm pushes the square-folded blue towel from the upper part of the table to the lower part."
